gameId,playId,snapDetail,snapTime,operationTime,hangTime,kickType,kickDirectionIntended,kickDirectionActual,returnDirectionIntended,returnDirectionActual,missedTackler,assistTackler,tackler,kickoffReturnFormation,gunners,puntRushers,specialTeamsSafeties,vises,kickContactType
2018090600,37,,,,3.85,D,R,R,,,,,,8-0-2,,,PHI 23; PHI 27,,
2018090600,366,OK,0.84,2.12,4.46,N,C,C,C,R,PHI 57,,PHI 54,,PHI 18; PHI 29,,,ATL 83; ATL 27; ATL 34; ATL 21,CC
2018090600,658,,,,,,,,,,,,,,,,PHI 58,,
2018090600,677,,,,4.06,D,R,R,C,C,ATL 83,ATL 22,ATL 27,8-0-2,,,ATL 17; ATL 22,,
2018090600,872,OK,0.84,2.0,4.35,N,C,L,,,,,,,PHI 18; PHI 29,ATL 85,ATL 37,ATL 83; ATL 34; ATL 21,BF
2018090600,973,OK,0.86,2.19,4.98,N,L,L,,,,,,,ATL 83; ATL 28,PHI 28; PHI 37; PHI 54; PHI 57,,PHI 29; PHI 32,CC
2018090600,1368,,,,,,,,,,,,,,,,ATL 23; ATL 45,,
2018090600,1387,,,,4.09,D,R,R,,,,,,8-0-2,,,PHI 23; PHI 27,,
2018090600,1587,,,,,,,,,,,,,,,,PHI 58,,
2018090600,1606,,,,3.63,D,C,C,C,R,,,ATL 36,8-0-2,,,ATL 14; ATL 17,,
2018090600,1850,OK,0.81,2.0,4.53,N,R,R,,,,,,,PHI 18; PHI 29,ATL 28; ATL 85,,ATL 83; ATL 23,BB
2018090600,1989,OK,0.76,2.12,4.62,N,C,C,C,C,ATL 83,,ATL 34,,ATL 83; ATL 28,,,PHI 29; PHI 37; PHI 32,CC
2018090600,2225,,,,3.98,D,C,C,,,,,,8-0-2,,,ATL 17; ATL 22,,
2018090600,2406,OK,0.83,2.04,4.69,N,C,C,,,,,,,PHI 18; PHI 29,ATL 25; ATL 54,,ATL 83; ATL 21,CC
2018090600,2599,OK,0.86,2.35,4.16,N,L,L,C,C,ATL 85,,ATL 54,,ATL 83; ATL 28,PHI 57,,PHI 29; PHI 37; PHI 32,CC
2018090600,2883,,,,,,,,,,,,,,,,ATL 42,,
2018090600,2899,,,,4.24,D,C,C,,,,,,8-0-2,,,PHI 23; PHI 27,,
2018090600,3026,OK,0.71,2.1,4.66,N,L,L,,,,,,,ATL 17; ATL 28,PHI 18; PHI 28; PHI 30; PHI 37; PHI 47; PHI 50; PHI 54; PHI 57,,PHI 29; PHI 32,BF
2018090600,3225,<,0.66,2.12,4.08,N,L,L,,,,,,,ATL 82; ATL 17; ATL 28,PHI 18,PHI 43,PHI 29; PHI 32,MBC
2018090600,3553,,,,,,,,,,,,,,,,PHI 55; PHI 58,,
2018090600,3569,,,,3.3,D,C,C,,,,,,8-0-2,,,ATL 14; ATL 17,,
