Unnamed: 0.1,nflId,height,weight,birthDate,collegeName,Position,displayName,num_kickoffs,num_field_goals,meanKickoffDistance,maxKickoffDistance,meanKickoffHangtime,maxKickoffHantime,intendedDirectionRatio,touchbackRatio,OOBRatio,onsideRatio,onsideRecoveryRate,meanKickLength_hit,maxKickLength_hit,clutchKicksMade,meanKickLength_missed,maxKickLength_missed,shortestKickLength_missed,clutchKicksMissed
0,46298,5-11,186,1995-11-16,New Mexico,K,Jason Sanders,227,83,70.9746192893401,80.0,4.0858375634517765,4.91,0.9955947136563876,0.8375634517766497,0.0,0.026431718061674,0.1666666666666666,37.7887323943662,56.0,2.0,47.083333333333336,52.0,34.0,0
1,52596,5-10,185,1997-02-14,Georgia Southern,K,Tyler Bass,100,28,70.81720430107526,80.0,4.072150537634409,4.64,0.97,0.7526881720430108,0.0,0.0,,38.90909090909091,58.0,0.0,44.5,61.0,34.0,0
2,43689,5-11,184,1994-07-07,Georgia State,K,Wil Lutz,286,86,70.8339483394834,75.0,3.9965313653136527,4.52,0.986013986013986,0.7638376383763837,0.0,0.0069930069930069,0.0,36.63636363636363,58.0,3.0,45.875,57.0,27.0,0
3,48337,5-11,213,1996-04-10,Virginia Tech,K,Joey Slye,151,55,73.25925925925925,75.0,4.032148148148148,4.61,1.0,1.0148148148148148,0.0,0.0198675496688741,0.0,38.11904761904762,56.0,0.0,50.0,67.0,28.0,4
4,32386,6-1,207,1984-09-03,Colorado,K,Mason Crosby,243,71,69.28837209302326,75.0,3.849813953488373,4.31,0.9917695473251028,0.6372093023255814,0.0,0.0123456790123456,0.0,38.58730158730159,54.0,4.0,46.5,56.0,38.0,1
5,41991,5-8,160,1991-11-18,Tulane,K,Cairo Santos,155,51,67.203007518797,75.0,3.91375939849624,4.34,0.9870967741935484,0.5488721804511278,0.0,0.032258064516129,0.0,35.34146341463415,55.0,2.0,47.22222222222222,53.0,36.0,0
6,47953,5-9,214,1996-11-15,Oklahoma,K,Austin Seibert,95,34,66.69565217391305,75.0,4.170108695652174,4.62,0.9894736842105264,0.4673913043478261,0.0,0.0,,36.74074074074074,53.0,0.0,47.285714285714285,55.0,41.0,0
7,39470,6-1,183,1989-11-21,Texas,K,Justin Tucker,293,94,69.7148288973384,75.0,4.018555133079849,4.52,0.9931740614334472,0.6844106463878327,0.0,0.0034129692832764,0.0,37.13793103448276,56.0,5.0,52.4,65.0,36.0,0
8,41688,6-0,190,1992-02-19,Auburn,K,Cody Parkey,180,54,69.20121951219512,75.0,3.864756097560976,4.41,0.9944444444444444,0.7134146341463414,0.0,0.0055555555555555,1.0,36.81818181818182,51.0,0.0,40.55555555555556,53.0,34.0,0
9,31446,5-10,201,1984-08-10,Central Florida,K,Matt Prater,42,79,68.5,75.0,4.129615384615385,4.78,0.9523809523809524,0.6923076923076923,0.0,0.0,inf,35.95384615384615,59.0,2.0,48.23076923076923,57.0,39.0,0
